cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
"4372006","437","IVO","Ivory Coast","2006","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4372007","437","IVO","Ivory Coast","2007","0","0","-88","-88","-88","0","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","4","6","2007","2","-88","","","","","","-77","","1","-77"
"4372010","437","IVO","Ivory Coast","2010","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","12","3","2010","1","-77","","","","","","-77","","1","-77"
"4372011","437","IVO","Ivory Coast","2011","1","0","5","1","4","4","0","2","2","4","5","3","3","7","5","6","4","9","19","2002","1","-77","4","11","2011","1","4","0","1","1","0"
"8121961","812","LAO","Laos","1961","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","5","3","1961","2","-77","","","","","","-77","","1","-77"
"8121962","812","LAO","Laos","1962","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121963","812","LAO","Laos","1963","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121964","812","LAO","Laos","1964","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121965","812","LAO","Laos","1965","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121966","812","LAO","Laos","1966","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121967","812","LAO","Laos","1967","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121968","812","LAO","Laos","1968","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121969","812","LAO","Laos","1969","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121970","812","LAO","Laos","1970","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121971","812","LAO","Laos","1971","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121972","812","LAO","Laos","1972","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"8121973","812","LAO","Laos","1973","0","","-88","-88","-88","-2","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","9","14","1973","1","-88","","","","","","0","","1","-2"
"4501990","450","LBR","Liberia","1990","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-6","9","16","1990","3","-77","","","","","","-77","","1","-77"
"4501991","450","LBR","Liberia","1991","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4501992","450","LBR","Liberia","1992","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4501993","450","LBR","Liberia","1993","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4501994","450","LBR","Liberia","1994","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4501995","450","LBR","Liberia","1995","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4501996","450","LBR","Liberia","1996","0","","-88","-88","-88","0","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","8","17","1996","9","-88","","","","","","0","","1","-77"
"6601975","660","LEB","Lebanon","1975","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","5","5","25","1975","2","-77","","","","","","-77","","1","-77"
"6601976","660","LEB","Lebanon","1976","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601977","660","LEB","Lebanon","1977","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601978","660","LEB","Lebanon","1978","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601979","660","LEB","Lebanon","1979","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601980","660","LEB","Lebanon","1980","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601981","660","LEB","Lebanon","1981","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601982","660","LEB","Lebanon","1982","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601983","660","LEB","Lebanon","1983","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601984","660","LEB","Lebanon","1984","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601985","660","LEB","Lebanon","1985","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601986","660","LEB","Lebanon","1986","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601987","660","LEB","Lebanon","1987","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601988","660","LEB","Lebanon","1988","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601989","660","LEB","Lebanon","1989","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6601990","660","LEB","Lebanon","1990","0","","-66","-66","-66","","0","-66","-66","-66","-66","-66","-66","-66","-66","-66","","9","21","1990","1","-66","","","","","","-66","","1","-66"
"5701998","570","LES","Lesotho","1998","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","8","5","15","1998","9","-77","","","","","","-77","","1","-77"
"5701999","570","LES","Lesotho","1999","0","","-88","-88","-88","2","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","1","16","1999","2","-88","","","","","","0","","1","-77"
"6202011","620","LIB","Libya","2011","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-7","7","31","2011","2","-77","","","","","","-77","","1","-77"
"6202012","620","LIB","Libya","2012","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6202013","620","LIB","Libya","2013","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"6202014","620","LIB","Libya","2014","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"701911","70","MEX","Mexico","1911","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-9","5","25","1911","1","-77","","","","","","-77","","1","-77"
"701912","70","MEX","Mexico","1912","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"701913","70","MEX","Mexico","1913","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"701914","70","MEX","Mexico","1914","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"701915","70","MEX","Mexico","1915","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"701916","70","MEX","Mexico","1916","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"701917","70","MEX","Mexico","1917","0","","1","2","-1","-1","0","1","0","0","3","3","3","4","3","6","-9","5","25","1911","1","-77","2","1","1917","1","-1","8","1","1","1"
"4322012","432","MLI","Mali","2012","1","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","7","3","21","2012","1","-4","4","6","2012","2","-77","","","1","0"
"4322013","432","MLI","Mali","2013","1","0","6","1","5","5","0","2","2","4","5","3","4","7","5","8","7","3","21","2012","1","-66","9","4","2013","1","5","-2","1","1","0"
"931979","93","NIC","Nicaragua","1979","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-8","7","19","1979","1","-77","","","","","","-77","","1","-77"
"931980","93","NIC","Nicaragua","1980","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"931981","93","NIC","Nicaragua","1981","0","","0","5","-5","-5","0","1","0","0","2","4","2","4","2","2","-8","7","19","1979","1","-77","3","5","1981","1","-5","3","1","1","1"
"7691971","769","PKS","Pakistan","1971","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","7","26","1971","1","-77","","","","","","96","1","1","96"
"2901939","290","POL","Poland","1939","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-6","9","2","1939","1","-77","","","","","","-77","","1","-77"
"2901940","290","POL","Poland","1940","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"2901941","290","POL","Poland","1941","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"2901942","290","POL","Poland","1942","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"2901943","290","POL","Poland","1943","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"2901944","290","POL","Poland","1944","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"2901945","290","POL","Poland","1945","0","","-88","-88","-88","-2","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","4","21","1945","1","-88","","","","","","0","","1","0"
"5171994","517","RWA","Rwanda","1994","0","","0","6","-6","-6","0","1","0","0","2","4","1","4","2","1","-7","4","6","1994","1","-77","7","19","1994","1","-6","1","1","1","0"
"4511997","451","SIE","Sierra Leone","1997","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","4","5","25","1997","1","-7","5","30","1997","3","-77","-77","","1","-77"
"4511998","451","SIE","Sierra Leone","1998","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4511999","451","SIE","Sierra Leone","1999","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4512000","451","SIE","Sierra Leone","2000","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4512001","451","SIE","Sierra Leone","2001","0","3","-88","-88","-88","2","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","11","16","2001","1","-88","","","","","","-77","","1","-77"
"9402000","940","SOL","Solomon Islands","2000","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","8","6","4","2000","1","-77","6","5","2000","1","","-77","","1","-77"
"9402001","940","SOL","Solomon Islands","2001","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"9402002","940","SOL","Solomon Islands","2002","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"9402003","940","SOL","Solomon Islands","2003","0","0","-66","-66","-66","","0","-66","-66","-66","-66","-66","-66","-66","-66","-66","","7","9","2003","1","-66","","","","","","-66","","1","-66"
"5201991","520","SOM","Somalia","1991","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-7","1","27","1991","2","-77","","","","","","-77","","1","-77"
"5201992","520","SOM","Somalia","1992","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201993","520","SOM","Somalia","1993","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201994","520","SOM","Somalia","1994","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201995","520","SOM","Somalia","1995","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201996","520","SOM","Somalia","1996","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201997","520","SOM","Somalia","1997","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201998","520","SOM","Somalia","1998","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5201999","520","SOM","Somalia","1999","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202000","520","SOM","Somalia","2000","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202001","520","SOM","Somalia","2001","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202002","520","SOM","Somalia","2002","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202003","520","SOM","Somalia","2003","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202004","520","SOM","Somalia","2004","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202005","520","SOM","Somalia","2005","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202006","520","SOM","Somalia","2006","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202007","520","SOM","Somalia","2007","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202008","520","SOM","Somalia","2008","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"5202009","520","SOM","Somalia","2009","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1",""
"5202010","520","SOM","Somalia","2010","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1",""
"5202011","520","SOM","Somalia","2011","0","2","-66","-66","-66","","0","-66","-66","-66","-66","-66","-66","-66","-66","-66","","8","6","2011","2","-66","","","","","","-66","","1","-66"
"5252013","525","SSU","South Sudan","2013","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","2","12","14","2013","-77","","","","","","","-77","","1","-77"
"5252014","525","SSU","South Sudan","2014","0","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","-77","","","","","","","-77","","1","-77"
"6401922","640","TUR","Turkey","1922","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","11","1","1922","1","-77","","","","","","-77","","1","-77"
"6401923","640","TUR","Turkey","1923","0","","0","6","-6","-6","0","2","1","4","3","4","2","3","3","2","-1","10","30","1918","1","-77","10","30","1923","1","-6","-5","1","1","-1"
"5001985","500","UGA","Uganda","1985","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","3","7","29","1985","2","-77","","","","","","-77","","1","-77"
"5001986","500","UGA","Uganda","1986","0","","0","7","-7","-7","0","1","0","0","1","4","1","4","1","1","3","7","29","1985","2","-77","1","27","1986","1","-7","-10","1","1","-2"
"3692014","369","UKR","Ukraine","2014","2","1","5","1","4","4","23","2","2","4","5","3","3","7","5","6","6","2","21","2014","1","-88","11","27","2014","1","4","-2","1","1","0"
"891838","89","UPC","United Province CA","1838","0","","5","3","2","2","14","2","1","4","7","3","3","3","7","6","2","12","31","1838","1","","","","","","","96","1","1","96"
"3641991","364","USR","USSR","1991","0","","3","3","0","0","0","2","2","4","4","4","2","7","4","2","0","8","19","1991","1","-77","12","31","1991","1","0","98","1","1","98"
"6792014","679","YEM","Yemen","2014","2","0","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","3","9","21","2014","1","-77","","","","","","-77","","1","-77"
"3451941","345","YUG","Yugoslavia","1941","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","2","4","7","1941","1","-77","","","","","","-77","","1","-77"
"3451942","345","YUG","Yugoslavia","1942","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3451943","345","YUG","Yugoslavia","1943","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"3451944","345","YUG","Yugoslavia","1944","0","","-88","-88","-88","-4","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","10","20","1944","1","-88","","","","","","0","","1","-2"
"3451991","345","YUG","Yugoslavia","1991","0","","0","5","-5","-5","37","2","1","4","3","3","2","3","3","3","-5","7","1","1991","2","","","","","","","96","1","1","96"
"4901960","490","ZAI","Congo Kinshasa","1960","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","","6","30","1960","1","-77","99","1","1","-2"
"4901961","490","ZAI","Congo Kinshasa","1961","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901962","490","ZAI","Congo Kinshasa","1962","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901963","490","ZAI","Congo Kinshasa","1963","0","","-88","-88","-88","-3","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","1","15","1963","2","-88","","","","","","0","","1","0"
"4901992","490","ZAI","Congo Kinshasa","1992","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","-8","12","6","1992","2","-77","","","","","","-77","","1","-77"
"4901993","490","ZAI","Congo Kinshasa","1993","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901994","490","ZAI","Congo Kinshasa","1994","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901995","490","ZAI","Congo Kinshasa","1995","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901996","490","ZAI","Congo Kinshasa","1996","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901997","490","ZAI","Congo Kinshasa","1997","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901998","490","ZAI","Congo Kinshasa","1998","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4901999","490","ZAI","Congo Kinshasa","1999","0","","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4902000","490","ZAI","Congo Kinshasa","2000","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4902001","490","ZAI","Congo Kinshasa","2001","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4902002","490","ZAI","Congo Kinshasa","2002","0","3","-77","-77","-77","0","0","-77","-77","-77","-77","-77","-77","-77","-77","-77","","","","","","-77","","","","","","-77","","1","-77"
"4902003","490","ZAI","Congo Kinshasa","2003","0","3","-88","-88","-88","1","0","-88","-88","-88","-88","-88","-88","-88","-88","-88","","6","30","2003","1","-88","","","","","","-77","","1","-77"
